"Title","Description","Started","Submitted","Conv","PrimaryText1","PrimaryText2","PrimaryText3","Headline1","Headline2","Headline3","ThankYouEmail","ImgHeadline1","ImgHeadline2","ImgHeadline3","ImageConcept"
"Effective Trust Repair","Learn how to repair your relationships by constructing or requesting effective apologies.","126","15","11.9","Ever wonder why some apologies land and others fall flat? There's a formula for it. Discover it free.","Rebuild trust and mend relationships with apologies that actually work. This free guide shows you how. Try it now.","A weak apology can do more harm than none at all. 🤝 Learn how to construct ones that truly repair. Explore the tool.","Repair Trust That Matters","The Apology That Works","Is Your Apology Falling Flat?","Thank you — we hope you found your Effective Trust Repair report valuable.

Repairing an important relationship often brings up real emotion, and having someone help you navigate it can make all the difference.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to communicate, mend, and strengthen the relationships that matter most to you.

If you'd like support with this, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Fix What Broke","Can Sorry Work","The Science Of Apology","Two ceramic halves of a single cup floating just before they reconnect, with a thin glowing gold seam between them in kintsugi style on a moody dark backdrop. The almost-mended break is beautiful and tense, pulling the eye to see if it joins."
"Surpass Self-Limiting Beliefs","False or exaggerated beliefs about ourselves can hold us back and harm our relationships. Learn to overcome them with three simple strategies!","359","39","10.9","Ever wonder which beliefs might be quietly holding you back? Three simple strategies can help. Discover them free.","Move past beliefs that limit you and grow with confidence. This free tool offers three clear strategies. Start today.","Could an old belief be shaping your choices today? 💭 Learn three strategies to challenge it. See how.","Move Past What Limits You","3 Strategies, Fewer Limits","What's Quietly Holding You Back?","Thank you — we hope you found your Surpass Self-Limiting Beliefs report valuable.

Naming the beliefs that hold you back is a big first step; loosening their grip for good is often easier with a guide alongside you.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to move past those beliefs and make faster progress toward your goals.

If you're ready to go further, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Break The Ceiling","What's Holding You Back","Outgrow Your Limits","A figure-shaped silhouette pressing a hand up through a low glass ceiling that is cracking into light, set against a deep gradient sky. The crack of light breaking through is dramatic and aspirational without being preachy."
"How Other People Can Make You Irrational","Discover how the social aspects of our lives cause us to act in all sorts of irrational ways, and what you can do about it!","825","84","10.2","Ever act differently just because others were watching? 👀 Discover how social pressure shapes your choices. Explore it free.","Make sharper decisions, even in a crowd. This free tool reveals how social dynamics sway us and what to do about it. Try it.","Why do smart people make irrational choices around others? The answer is fascinating. Find out now.","Outsmart Social Pressure","The Crowd Effect Explained","Do Others Sway Your Choices?","Thank you — we hope you found your How Other People Can Make You Irrational report valuable.

Spotting how social pressure shapes your choices is one thing; thinking clearly under it, day to day, is where a coach can really help.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to make decisions that reflect your own values and goals.

If you'd like a thinking partner, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","The Crowd Effect","Who's Steering You","Spot The Invisible Pull","A single bright arrow pointing one way while a dense crowd of gray arrows all point the other, on a clean white canvas. The lone standout against the herd instantly conveys social pressure and stops the scroll with simple visual tension."
"The Belief Challenger","Our beliefs determine our behaviors and how we interact with others. Use this program to refine your beliefs and form more accurate views.","473","44","9.3","Ever wonder how accurate your everyday beliefs really are? This program helps you refine them. Try it free.","Form clearer, more accurate views and act with confidence. This free program helps you sharpen your beliefs. Start now.","Your beliefs shape everything you do. 🔍 So how well have you examined them? Use this tool to find out.","Sharpen How You See Things","Put Your Beliefs to the Test","How Accurate Are Your Beliefs?","Thank you — we hope you found your The Belief Challenger report valuable.

Refining your beliefs to see things more accurately is a powerful habit, and it's even easier to build with someone who helps you apply it to the real choices in your life.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to think clearly and make faster progress toward your goals.

If that appeals to you, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Is It Actually True","Stress-Test Your Mind","Beliefs On Trial","A magnifying glass hovering over a thought-bubble, with the part inside the lens appearing sharper and more detailed than the blurry rest, against a soft neutral background. The clarity-inside-the-lens metaphor evokes scrutiny and curiosity."
"Craft Perfect Compliments","Learn a formula for creating a successful compliment, practice formulating compliments that build connections, and feel less awkward sharing positive comments.","2216","196","8.8","Ever freeze up trying to give a compliment? 😅 There's actually a formula for it. Learn it free.","Give compliments that build real connection, without the awkwardness. This free tool teaches you a simple formula. Try it.","Why do some compliments spark a smile and others feel hollow? It comes down to a formula. Discover it now.","Compliments That Connect","The Formula for Kind Words","Compliments Feel Awkward?","Thank you — we hope you found your Craft Perfect Compliments report valuable.

Small, genuine words can build real connection, and strengthening how you relate to others is something a coach can help you work on more broadly.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to deepen your relationships and make progress on the goals that matter to you.

If you'd like to explore that, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Words That Land","Make Their Day","Say It So It Sticks","A speech bubble unfolding into a small burst of warm confetti and light against a cheerful pastel backdrop. The kinetic warmth feels generous and human, signaling connection rather than flattery."
"Productive Disagreements","Learn techniques to have arguments that are constructive and beneficial for your relationships. Practice by arguing with a powerful artificial intelligence!","209","18","8.6","Ever wish a disagreement could bring you closer instead of apart? 🤖 Practice your skills against an AI. Try it free.","Turn arguments into stronger relationships. Learn constructive techniques and practice with an AI. Start free now.","What if you could win the argument and the relationship? Practice with a powerful AI and find out. Explore it.","Argue Without the Fallout","Debate a Powerful AI","Can a Fight Strengthen a Bond?","Thank you — we hope you found your Productive Disagreements report valuable.

Turning conflict into something constructive is a skill that pays off everywhere, and it's easier to strengthen with someone helping you practice it in your own situations.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to communicate well and navigate the relationships and goals that matter to you.

If you'd like support, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Argue Better","Win Without Fighting","Turn Clash Into Insight","Two contrasting colored speech bubbles overlapping to create a vivid third color in the middle, on a clean modern background. The blended overlap visualizes productive friction creating something new and is instantly intriguing."
"Savor Your Life","Learn a skill recommended by positive psychology to increase satisfaction and deepen your happiness. Lift your spirits and create lasting positive feelings!","113","9","8.0","Ever let a good moment slip by unnoticed? ✨ Positive psychology has a skill for savoring it. Discover it free.","Deepen your happiness and create lasting positive feelings. Learn this positive-psychology skill free. Start today.","What separates fleeting joy from lasting satisfaction? Positive psychology points to one skill. Learn it now.","Deepen Your Everyday Joy","The Skill of Savoring","Letting Good Moments Slip By?","Thank you — we hope you found your Savor Your Life report valuable.

Savoring more of your days can genuinely lift your satisfaction, and a coach can help you weave habits like this into a fuller, more intentional life.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to boost your wellbeing and make faster progress toward what matters most.

If that sounds good, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Slow Down Time","Catch The Good Stuff","Make Joy Last Longer","A single drop of golden honey caught mid-drip in sharp macro focus, light glowing through it, against a soft warm-blur background. The suspended slow moment embodies savoring and is luxuriously thumb-stopping."
"Spark the Mood You Want","Create a mood association: learn to generate a mental state of your choice in the situation you want using a quick, reliable technique.","307","24","7.8","Ever wish you could shift into the right mindset on demand? There's a quick technique for that. Try it free.","Summon the mental state you want, when you want it. This free tool teaches a quick, reliable technique. Start now.","What if you could reliably spark a mood in any situation? 🎯 Learn the technique behind it. Explore now.","Set the Mood on Demand","Your Mind, On Cue","Want a Mood You Can Summon?","Thank you — we hope you found your Spark the Mood You Want report valuable.

Being able to shift into the state you want is a real edge, and a coach can help you build that kind of emotional flexibility into your everyday routine.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to manage your moods and make faster progress toward your goals.

If you'd like to go deeper, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Flip Your State","Choose How You Feel","Summon Calm On Demand","A simple dimmer-style dial turning a scene from muted gray on one side to vibrant warm color on the other, split down the middle. The before-and-after slider invites the viewer to imagine flipping their own switch."
"Pathkeeper","Keep track of your goals and your progress, so that you can more reliably achieve what you set out to do. Includes optional mechanisms for accountability.","141","11","7.8","Ever set a goal and lose track of it weeks later? 📌 Pathkeeper helps you stay on course. Try it free.","Reliably reach the goals you set, with built-in accountability. This free tool keeps your progress on track. Start now.","Why do so many goals fade away? Often it's a tracking problem. Pathkeeper offers a fix. See how.","Stay on Track to Your Goals","Never Lose a Goal Again","Goals Slipping Off Your Radar?","Thank you — we hope you found your Pathkeeper report valuable.

Tracking your goals is a great start, but staying accountable over time is so much easier with a real person in your corner.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan and keep you accountable so you make faster, steadier progress toward your goals.

If you'd like that support, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Goals That Stick","Where's Your Finish Line","Stay On Track","A clean winding trail of glowing footstep markers leading toward a small bright flag on a hilltop, minimal flat-illustration style. The visible path to the goal feels achievable and momentum-driven."
"The Decision Advisor","Facing a challenging, complex, or emotionally-charged decision? Try this tool for organizing your thoughts and weighing your options numerically.","1228","84","6.8","Ever feel stuck between two hard choices? 🤔 This tool helps you weigh your options clearly. Try it free.","Make tough decisions with clarity and confidence. This free tool organizes your thoughts and scores your options. Start now.","Why do big decisions feel so overwhelming? Sometimes it's just disorganized thinking. This tool helps. Explore it.","Decide With Confidence","Weigh Your Options Clearly","Stuck on a Hard Decision?","Thank you — we hope you found your The Decision Advisor report valuable.

Hard, emotionally-charged decisions are tough to face alone, and talking them through with someone trained to help can bring real clarity.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to work through tough choices and move forward toward your goals with confidence.

If you'd like a thinking partner, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Untangle The Choice","Stuck Between Two","Decide With Clarity","A tangled knot of two colored threads on one side smoothly resolving into two clean parallel lines on the other, against a calm background. The visual of chaos becoming order maps perfectly to organizing a hard decision."
"Lifetime Aspirations","Want to make a plan for accomplishing your biggest dreams? Use this tool to become happier and to more easily achieve your long-term goals.","236","15","6.4","Ever wonder how your biggest dreams could become a real plan? 🌟 This tool maps the path. Try it free.","Turn your long-term goals into an achievable plan, and feel happier doing it. This free tool shows you how. Start now.","What's the difference between a dream and a destiny? Often, just a plan. Build yours free. Explore it.","Plan Your Biggest Dreams","From Dream to Roadmap","What's Your Lifetime Plan?","Thank you — we hope you found your Lifetime Aspirations report valuable.

Mapping out your biggest dreams is inspiring; turning them into steady, real-world progress is where a coach can truly help.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to break your aspirations into achievable steps and make faster progress toward them.

If you're ready to start, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Map Your Dreams","What's Your Big One","Build The Life You Want","A telescope pointed toward a distant glowing star on a deep twilight gradient, the star slightly larger than expected. The reach-for-the-distant-star image is aspirational and cinematic without being cheesy."
"Kind and Effective Communication (NVC)","Learn the techniques of Non-Violent Communication (NVC) to build stronger relationships.","776","45","5.8","Ever wish hard conversations felt less tense? 🕊️ Non-Violent Communication offers a kinder way. Discover it free.","Build stronger relationships through kinder, clearer communication. Learn the techniques of NVC free. Start now.","What if you could be honest and kind at the same time? NVC shows you how. Explore the techniques.","Communicate With Kindness","The NVC Approach","Hard Conversations Feel Tense?","Thank you — we hope you found your Kind and Effective Communication (NVC) report valuable.

Communicating with both honesty and care is a skill that transforms relationships, and it's easier to build with someone helping you practice it in your own life.

With Clearer Thinking Plus, you'll meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls, building a personalized plan to strengthen your relationships and make progress toward the goals that matter to you.

If you'd like support, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Say It Kindly","Heard And Understood","Words Without Walls","Two hands gently passing a soft glowing orb of light between them against a warm minimal backdrop. The careful exchange of something fragile and bright signals kind, intentional communication."
"Leaving Your Mark on the World","Learn to make the most of your charitable contributions with this detailed and informative guide.","261","15","5.7","Ever wonder if your giving truly makes a difference? 🌍 This guide helps you maximize it. Explore it free.","Make every charitable dollar count. This free, detailed guide helps you give more effectively. Start now.","What separates good intentions from real impact? Often, just informed giving. Learn how. Explore the guide.","Make Your Giving Count","Give for Real Impact","Is Your Giving Making a Mark?","Thank you — we hope you found your Leaving Your Mark on the World report valuable.

Giving in a way that truly reflects your values is deeply meaningful, and a coach can help you align your choices with the impact you most want to have.

Through Clearer Thinking Plus, you can meet one-on-one with an evidence-based coach (drawing on CBT, ACT, and Motivational Interviewing) over 45-minute video calls. Together you'll build a personalized plan to live with intention and make faster progress toward the goals that matter most to you.

If that resonates, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Make It Count","What Will You Leave","Give With Impact","A single hand releasing a glowing seed that trails light as it drifts outward over a wide horizon at golden hour. The act of release and ripple outward evokes legacy and generosity in a quietly powerful way."
